# Observation File: water_balance.dat column names:
# -----------------------------------------------------------------------------
# Observation Name: time [d]
# -----------------------------------------------------------------------------
# Observation Name: net runoff [mol d^-1]
# Region: surface domain outlet
# Reduction: extensive integral
# Variable: surface-water_flux
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: surface water content [mol]
# Region: surface domain
# Reduction: extensive integral
# Variable: surface-water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: subsurface water content [mol]
# Region: computational domain
# Reduction: extensive integral
# Variable: water_content
# Number of Vectors: 1
# -----------------------------------------------------------------------------
# Observation Name: max ponded depth [m]
# Region: surface domain
# Reduction: maximum
# Variable: surface-ponded_depth
# Number of Vectors: 1
# =============================================================================
"time [d]","net runoff [mol d^-1]","surface water content [mol]","subsurface water content [mol]","max ponded depth [m]"
0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,9.426130147452e+12,0.000000000000e+00
5.787037037037e-05,0.000000000000e+00,0.000000000000e+00,9.426130343614e+12,0.000000000000e+00
1.157407407407e-04,0.000000000000e+00,0.000000000000e+00,9.426130538822e+12,0.000000000000e+00
1.736111111111e-04,0.000000000000e+00,0.000000000000e+00,9.426130720238e+12,0.000000000000e+00
2.459490740741e-04,0.000000000000e+00,0.000000000000e+00,9.426130961946e+12,0.000000000000e+00
3.363715277778e-04,0.000000000000e+00,0.000000000000e+00,9.426131266818e+12,0.000000000000e+00
4.776566116898e-04,0.000000000000e+00,0.000000000000e+00,9.426131745640e+12,0.000000000000e+00
6.189416956019e-04,0.000000000000e+00,0.000000000000e+00,9.426132224508e+12,0.000000000000e+00
7.602267795139e-04,0.000000000000e+00,0.000000000000e+00,9.426132702874e+12,0.000000000000e+00
9.015118634259e-04,0.000000000000e+00,0.000000000000e+00,9.426133177562e+12,0.000000000000e+00
1.042796947338e-03,0.000000000000e+00,0.000000000000e+00,9.426133655822e+12,0.000000000000e+00
1.219403302228e-03,0.000000000000e+00,0.000000000000e+00,9.426134254355e+12,0.000000000000e+00
1.440161245841e-03,0.000000000000e+00,7.587332552292e+04,9.426134926746e+12,3.448050136423e-04
1.785095532735e-03,0.000000000000e+00,3.431584178600e+05,9.426135828482e+12,9.159104100598e-04
2.458795311826e-03,0.000000000000e+00,8.974818554714e+05,9.426137557377e+12,2.051319064692e-03
4.103570163123e-03,0.000000000000e+00,3.800430194750e+06,9.426140228146e+12,4.850134958987e-03
5.337151301595e-03,0.000000000000e+00,6.382493557705e+06,9.426141826875e+12,6.948018430259e-03
6.570732440068e-03,0.000000000000e+00,8.965545311129e+06,9.426143424203e+12,9.035979774235e-03
8.112708863158e-03,0.000000000000e+00,1.215216325895e+07,9.426145463236e+12,1.161638786990e-02
1.004017939202e-02,0.000000000000e+00,1.612915796700e+07,9.426148018562e+12,1.477508256373e-02
1.196764992088e-02,0.000000000000e+00,2.008011940855e+07,9.426150600064e+12,1.784675082829e-02
1.437698808196e-02,0.000000000000e+00,2.489600576657e+07,9.426153950340e+12,2.151897875942e-02
1.678632624304e-02,0.000000000000e+00,2.963988086952e+07,9.426157371969e+12,2.501665687190e-02
1.919566440412e-02,0.000000000000e+00,3.454407816803e+07,9.426160634132e+12,2.832171985525e-02
2.220733710547e-02,0.000000000000e+00,4.077669198439e+07,9.426164608415e+12,3.212666045929e-02
2.446609163148e-02,0.000000000000e+00,4.542864121153e+07,9.426167611655e+12,3.477768908349e-02
2.672484615749e-02,2.889667990107e+00,5.005819546898e+07,9.426170636745e+12,3.720788795486e-02
2.898360068350e-02,8.561844146838e+01,5.474427042830e+07,9.426173606060e+12,3.941003731474e-02
3.124235520952e-02,3.523657084926e+02,5.943612767379e+07,9.426176569100e+12,4.139915218583e-02
3.350110973553e-02,7.995778813341e+02,6.410645725353e+07,9.426179553070e+12,4.319407202644e-02
3.575986426154e-02,1.407908196956e+03,6.874806046004e+07,9.426182563661e+12,4.480443518490e-02
3.858330741905e-02,3.014595585402e+03,7.455009143477e+07,9.426186327585e+12,4.870259199844e-02
4.211261136595e-02,6.253336134786e+03,8.196461490441e+07,9.426190868052e+12,5.622353555889e-02
